RECORDEDATTIME,DIRECTIONREF,VEHICLEREF,VEHICLELOCATION_LATITUDE,VEHICLELOCATION_LONGITUDE,EXPECTEDARRIVALTIME,SCHEDULEDARRIVALTIME
01-06-2017 00:03,0,NYCT_5067,40.709417,-73.960149,01-06-2017 00:03,24:28:00
01-06-2017 00:03,1,NYCT_5700,40.821364,-73.9257,01-06-2017 00:03,23:43:30
01-06-2017 00:03,0,NYCT_7662,40.842123,-73.924388,01-06-2017 00:04,24:05:48
01-06-2017 00:03,1,NYCT_7587,40.642979,-73.978999,01-06-2017 00:04,24:06:00
01-06-2017 00:03,0,NYCT_5956,40.817287,-73.922371,01-06-2017 00:03,24:02:07
01-06-2017 00:03,0,NYCT_4825,40.672939,-73.909276,01-06-2017 00:03,24:05:20
01-06-2017 00:03,0,NYCT_4452,40.702254,-73.906752,01-06-2017 00:03,24:05:56
01-06-2017 00:03,1,NYCT_5612,40.829054,-73.944813,01-06-2017 00:04,23:58:18
01-06-2017 00:03,1,NYCT_5124,40.60044,-73.941761,01-06-2017 00:03,24:07:00
01-06-2017 00:02,0,NYCT_6817,40.669059,-73.875665,01-06-2017 00:03,24:01:52
01-06-2017 00:03,1,NYCT_7111,40.663732,-73.88884,01-06-2017 00:04,23:54:08
01-06-2017 00:03,0,NYCT_6414,40.791478,-73.964819,01-06-2017 00:03,24:00:18
01-06-2017 00:03,1,NYCT_6802,40.635639,-73.88671,NA,24:00:07
01-06-2017 00:03,0,NYCT_5856,40.7729,-73.920855,01-06-2017 00:04,24:03:14
01-06-2017 00:03,0,NYCT_5856,40.7729,-73.920855,01-06-2017 00:04,24:08:32
01-06-2017 00:03,0,NYCT_5856,40.7729,-73.920855,01-06-2017 00:04,24:08:30
01-06-2017 00:03,0,NYCT_4344,40.901848,-73.905967,01-06-2017 00:03,24:04:40
01-06-2017 00:03,1,NYCT_4365,40.845566,-73.938641,01-06-2017 00:03,23:45:42
01-06-2017 00:03,0,NYCT_753,40.664409,-73.983651,01-06-2017 00:03,23:56:50
01-06-2017 00:03,1,NYCT_5235,40.732865,-73.995902,01-06-2017 00:04,24:03:44
01-06-2017 00:03,1,NYCT_4963,40.662665,-73.931546,01-06-2017 00:04,24:00:44
01-06-2017 00:03,0,NYCT_4603,40.709424,-73.959604,01-06-2017 00:03,23:53:00
01-06-2017 00:03,1,NYCT_2660,40.761108,-73.969562,NA,23:51:05
01-06-2017 00:03,0,NYCT_275,40.829089,-73.937099,01-06-2017 00:06,24:04:11
01-06-2017 00:03,1,NYCT_5545,40.806462,-73.946543,01-06-2017 00:04,23:57:48
01-06-2017 00:03,0,NYCT_478,40.652536,-73.923647,01-06-2017 00:04,24:03:00
01-06-2017 00:03,0,NYCT_3853,40.759389,-73.988223,01-06-2017 00:03,24:01:21
01-06-2017 00:03,1,NYCT_4989,40.666288,-73.883834,01-06-2017 00:03,24:04:27
01-06-2017 00:03,1,NYCT_6873,40.725634,-73.725051,01-06-2017 00:06,24:00:00
01-06-2017 00:03,1,NYCT_4751,40.826378,-73.922994,01-06-2017 00:03,23:55:44
01-06-2017 00:03,1,NYCT_707,40.833272,-73.91407,01-06-2017 00:05,24:02:00
01-06-2017 00:03,0,NYCT_7105,40.676254,-73.938471,01-06-2017 00:03,23:57:06
01-06-2017 00:03,1,NYCT_7088,40.64003,-74.131797,01-06-2017 00:03,24:02:00
01-06-2017 00:03,0,NYCT_5930,40.748865,-74.006943,01-06-2017 00:04,24:01:22
01-06-2017 00:03,1,NYCT_4429,40.723633,-73.938811,01-06-2017 00:05,24:06:35
01-06-2017 00:03,1,NYCT_5668,40.8145,-73.846979,NA,23:55:00
01-06-2017 00:03,0,NYCT_4775,40.856859,-73.864426,01-06-2017 00:04,23:59:31
01-06-2017 00:03,1,NYCT_4768,40.862274,-73.895873,01-06-2017 00:03,24:10:59
01-06-2017 00:03,0,NYCT_7414,40.785376,-73.845041,01-06-2017 00:03,23:57:37
01-06-2017 00:03,0,NYCT_6622,40.671044,-73.92238,01-06-2017 00:04,23:51:00
01-06-2017 00:03,0,NYCT_7024,40.628929,-74.116382,01-06-2017 00:03,24:09:00
01-06-2017 00:03,0,NYCT_8353,40.884454,-73.832804,01-06-2017 00:04,24:01:00
01-06-2017 00:03,1,NYCT_7410,40.754343,-73.827862,01-06-2017 00:04,23:51:21
01-06-2017 00:03,1,NYCT_367,40.610551,-73.923138,01-06-2017 00:04,24:06:04
01-06-2017 00:03,1,NYCT_386,40.689754,-73.992598,01-06-2017 00:03,24:02:38
01-06-2017 00:03,1,NYCT_1213,40.82327,-73.858564,01-06-2017 00:04,24:03:46
01-06-2017 00:03,1,NYCT_1213,40.82327,-73.858564,01-06-2017 00:04,24:03:45
01-06-2017 00:03,0,NYCT_8444,40.70717,-73.789752,01-06-2017 00:03,24:02:27
01-06-2017 00:03,0,NYCT_4774,40.852672,-73.92021,01-06-2017 00:05,24:03:50
01-06-2017 00:03,0,NYCT_7656,40.659005,-73.99586,01-06-2017 00:04,23:54:48
01-06-2017 00:03,0,NYCT_7656,40.659005,-73.99586,01-06-2017 00:04,23:58:20
01-06-2017 00:03,1,NYCT_4898,40.578112,-73.941157,01-06-2017 00:03,23:59:00
01-06-2017 00:03,1,NYCT_4617,40.638271,-73.953442,01-06-2017 00:03,23:55:42
01-06-2017 00:03,0,NYCT_8350,40.876105,-73.829748,01-06-2017 00:03,24:03:00
01-06-2017 00:03,0,NYCT_8119,40.686457,-73.73029,01-06-2017 00:03,24:04:12
01-06-2017 00:03,1,NYCT_5562,40.701801,-74.011172,01-06-2017 00:04,23:04:00
01-06-2017 00:03,0,NYCT_8417,40.71636,-73.774184,01-06-2017 00:04,24:03:06
01-06-2017 00:03,0,NYCT_3811,40.715506,-74.015629,01-06-2017 00:03,24:01:20
01-06-2017 00:03,0,NYCT_404,40.656777,-73.903905,01-06-2017 00:03,23:58:31
01-06-2017 00:03,1,NYCT_4556,40.714071,-73.955721,01-06-2017 00:06,23:56:44
01-06-2017 00:03,1,NYCT_7356,40.670541,-73.955118,01-06-2017 00:03,24:05:35
01-06-2017 00:03,0,NYCT_711,40.816393,-73.94629,01-06-2017 00:03,24:00:29
01-06-2017 00:03,1,NYCT_5758,40.813188,-73.826529,01-06-2017 00:03,24:07:28
01-06-2017 00:03,0,NYCT_4688,40.771792,-73.733351,NA,23:30:00
01-06-2017 00:03,0,NYCT_7234,40.673889,-74.005098,01-06-2017 00:04,24:04:42
01-06-2017 00:03,1,NYCT_8475,40.713026,-73.735917,01-06-2017 00:03,00:03:35
01-06-2017 00:03,0,NYCT_5915,40.709808,-73.819023,01-06-2017 00:03,23:59:35
01-06-2017 00:03,1,NYCT_374,40.651524,-73.935041,01-06-2017 00:04,23:55:29
01-06-2017 00:03,0,NYCT_364,40.654342,-74.008939,01-06-2017 00:04,24:01:25
01-06-2017 00:03,1,NYCT_4660,40.74396,-73.924128,01-06-2017 00:03,23:52:08
01-06-2017 00:03,0,NYCT_6819,40.689858,-73.990193,01-06-2017 00:04,24:04:00
01-06-2017 00:03,1,NYCT_5945,40.813582,-73.910758,01-06-2017 00:04,23:57:05
01-06-2017 00:03,0,NYCT_4980,40.635689,-73.912997,01-06-2017 00:03,23:50:03
01-06-2017 00:03,0,NYCT_4980,40.635689,-73.912997,01-06-2017 00:03,23:47:19
01-06-2017 00:03,1,NYCT_281,40.822321,-73.855112,01-06-2017 00:03,00:02:51
01-06-2017 00:03,0,NYCT_4797,40.845963,-73.892234,01-06-2017 00:04,24:05:28
01-06-2017 00:03,0,NYCT_8115,40.68676,-73.761286,01-06-2017 00:03,24:04:13
01-06-2017 00:03,1,NYCT_8370,40.846659,-73.927519,01-06-2017 00:04,24:07:33
01-06-2017 00:03,1,NYCT_3892,40.79562,-73.965507,01-06-2017 00:03,23:57:17
01-06-2017 00:03,0,NYCT_7243,40.677879,-73.921735,01-06-2017 00:04,24:03:00
01-06-2017 00:03,1,NYCT_4525,40.695484,-73.916185,01-06-2017 00:04,24:02:37
01-06-2017 00:03,0,NYCT_4206,40.767522,-73.827061,01-06-2017 00:03,24:07:16
01-06-2017 00:03,1,NYCT_4138,40.729727,-73.889562,01-06-2017 00:03,24:03:15
01-06-2017 00:03,0,NYCT_7046,40.62291,-74.095689,01-06-2017 00:03,24:06:30
01-06-2017 00:03,1,NYCT_7218,40.692389,-73.987291,01-06-2017 00:03,23:54:12
01-06-2017 00:03,1,NYCT_6511,40.662502,-73.880661,01-06-2017 00:03,24:06:00
01-06-2017 00:03,1,NYCT_6830,40.659261,-73.939647,01-06-2017 00:04,23:52:00
01-06-2017 00:03,1,NYCT_5863,40.770694,-73.86706,01-06-2017 00:03,24:07:30
01-06-2017 00:03,0,NYCT_5726,40.824371,-73.820221,01-06-2017 00:03,23:59:54
01-06-2017 00:03,1,NYCT_2617,40.560849,-74.171032,NA,21:22:00
01-06-2017 00:03,0,NYCT_268,40.828091,-73.903974,01-06-2017 00:04,24:05:08
01-06-2017 00:03,0,NYCT_7283,40.678321,-73.913524,NA,23:57:08
01-06-2017 00:03,1,NYCT_1218,40.851876,-73.826491,01-06-2017 00:07,24:06:43
01-06-2017 00:03,1,NYCT_6617,40.668537,-73.900852,01-06-2017 00:04,24:01:12
01-06-2017 00:03,0,NYCT_7297,40.702354,-73.853103,01-06-2017 00:04,24:04:59
01-06-2017 00:03,1,NYCT_4210,40.713826,-73.793629,01-06-2017 00:04,24:05:16
01-06-2017 00:03,1,NYCT_256,40.624418,-73.991224,01-06-2017 00:03,24:02:51
01-06-2017 00:03,0,NYCT_4459,40.76347,-73.829447,01-06-2017 00:04,24:03:33
01-06-2017 00:03,0,NYCT_6422,40.778234,-73.981889,01-06-2017 00:04,24:01:08
01-06-2017 00:03,1,NYCT_4532,40.685227,-73.959185,01-06-2017 00:04,24:04:14
01-06-2017 00:03,0,NYCT_8175,40.575921,-74.119574,01-06-2017 00:03,24:07:00
01-06-2017 00:03,0,NYCT_5278,40.736119,-73.99389,01-06-2017 00:03,24:06:02
01-06-2017 00:03,1,NYCT_4665,40.706744,-73.804277,01-06-2017 00:03,24:04:00
01-06-2017 00:03,1,NYCT_7196,40.707022,-73.96717,01-06-2017 00:04,24:02:01
01-06-2017 00:03,1,NYCT_6404,40.779009,-73.982578,01-06-2017 00:03,23:59:30
01-06-2017 00:03,0,NYCT_7358,40.709074,-73.95975,01-06-2017 00:04,24:05:00
01-06-2017 00:03,0,NYCT_8315,40.605917,-74.162234,01-06-2017 00:04,23:51:00
01-06-2017 00:03,0,NYCT_4380,40.864894,-73.928442,01-06-2017 00:04,24:03:58
01-06-2017 00:03,1,NYCT_5202,40.764495,-73.958035,01-06-2017 00:03,24:05:07
01-06-2017 00:03,1,NYCT_5517,40.862741,-73.901031,01-06-2017 00:05,24:01:00
01-06-2017 00:03,0,NYCT_5921,40.775901,-73.961137,01-06-2017 00:04,24:01:52
01-06-2017 00:03,0,NYCT_6418,40.796663,-73.94878,01-06-2017 00:03,24:05:00
01-06-2017 00:01,1,NYCT_7262,40.698831,-73.898455,NA,24:02:03
01-06-2017 00:03,0,NYCT_290,40.868621,-73.842343,01-06-2017 00:04,23:57:52
01-06-2017 00:03,1,NYCT_8068,40.671751,-73.764411,01-06-2017 00:04,23:52:44
01-06-2017 00:03,0,NYCT_5125,40.592583,-73.95012,01-06-2017 00:03,24:00:43
01-06-2017 00:03,1,NYCT_5147,40.635331,-73.92863,01-06-2017 00:04,24:04:09
01-06-2017 00:03,1,NYCT_8188,40.637748,-74.076454,01-06-2017 00:04,00:02:22
01-06-2017 00:03,1,NYCT_8188,40.637748,-74.076454,01-06-2017 00:04,00:02:26
01-06-2017 00:03,0,NYCT_3823,40.764141,-73.976766,01-06-2017 00:03,24:02:44
01-06-2017 00:03,0,NYCT_7359,40.695158,-73.990784,01-06-2017 00:03,23:50:00
01-06-2017 00:03,0,NYCT_252,40.655624,-74.011077,01-06-2017 00:04,23:51:00
01-06-2017 00:03,0,NYCT_4233,40.658951,-73.947531,01-06-2017 00:03,23:52:10
01-06-2017 00:03,1,NYCT_7748,40.838946,-73.92278,01-06-2017 00:04,24:05:48
01-06-2017 00:03,1,NYCT_4780,40.840292,-73.905099,01-06-2017 00:04,24:01:00
01-06-2017 00:03,1,NYCT_4967,40.583985,-73.938132,01-06-2017 00:03,23:54:00
01-06-2017 00:03,0,NYCT_7228,40.696121,-73.98928,01-06-2017 00:04,24:08:43
01-06-2017 00:03,1,NYCT_4861,40.642107,-73.903071,01-06-2017 00:03,23:49:19
01-06-2017 00:03,0,NYCT_5690,40.882275,-73.886364,01-06-2017 00:05,24:02:10
01-06-2017 00:03,1,NYCT_8411,40.693956,-73.762226,01-06-2017 00:04,24:04:30
01-06-2017 00:03,0,NYCT_6735,40.733809,-74.00586,NA,24:01:00
