id,director
264337,Sean McNamara
289716,David Burris
296065,Anthony DiBlasi
337029,Bernard Rose
317952,Matthew Heineman
325358,Jason Friedberg|Aaron Seltzer
272548,Antoine Bardou-Jacquet
340275,Spike Lee
309887,Craig Moss
302429,Gary Rydstrom
253331,Mike Binder
293771,Zach Lipovsky
323373,Jason Lei Howden
323027,Sam Liu
297806,Marc Abraham
253626,Andrew Niccol
354251,Roxanne Benjamin|David Bruckner|Patrick Horvath|Chad Villella|Matt Bettinelli-Olpin|Tyler Gillett|Justin Martinez|Radio Silence
329637,Tim Russ
257444,Craig Macneill
355338,Josh Cooley
271736,Stephen Frears
309581,Charles Stone III
293970,Todd Strauss-Schulson
279690,Jason Krawczyk
364067,Sofia Coppola
318922,Owen Harris
335077,Simon Hung
266639,Jon M. Chu
274504,Pamela Romanowsky
244316,David Hackl
352208,Michael Moore
283587,Cary Fukunaga
311539,Grant Harvey|Steven Hoban|Brett Sullivan
277713,Terence Davies
347945,Jacob Gentry
363483,Peter Sullivan
344854,Nick Robertson
234212,Will Canon
354220,Nick Simon
283596,Robert Carlyle
250225,Peter Strickland
339145,April Mullen
323660,Marya Cohn
308638,Jeremy M. Inman
359983,Andrew Mogel|Jarrad Paul
300155,Howy Parkins
328595,Julian Jarrold
327528,Christopher Leone
329540,Robert Budreau
306964,William Kaufman
360387,Darren Lynn Bousman|Axelle Carolyn|Adam Gierasch|Andrew Kasch|Neil Marshall|Lucky McKee|Ryan Schifrin|Mike Mendez|Dave Parker|John Skipp|Paul Solet
362185,Ken Sanzel
94365,Obin Olson|Amariah Olson
241855,Tom Six
322518,Aaron Moorhead|Justin Benson
291272,Adam Massey
324963,Ted Geoghegan
342927,Dan Fraga|William Lau
361159,Christopher Ray
365805,Stanton Barrett
351964,Michael Bafaro
362057,Will Slocombe
137333,Kevin Goetz|Michael Goetz
317198,Matthew Leutwyler
57876,Erik Canuel
339533,Oren Peli
277546,John Baumgartner
308457,Austin Stark
306482,Jennifer Phang
362105,Ariel Kleiman
245846,Peter DeLuise
330112,Kim Farrant
322766,Tony McNamara
361931,Christopher Zalla
318224,Anthony Wonke
309503,Alex Gibney
348811,Mora Stephens
310135,Ryan Little
355111,FranÃ§ois Simard|Anouk Whissell|Yoann-Karl Whissell
335866,Karen J. Lloyd
295592,Aaron Hann|Mario Miscione
335970,Mark Linfield|Alastair Fothergill
366142,Fred Wolf
310121,Kyle Balda|Julien Soret
361263,Brett Haley
324308,Robert Harmon
326923,Alex Gibney
356842,Lee Friedlander
339530,David Farr
331190,Don Michael Paul
301729,Jerry Jameson
395883,Marc Furmie
356300,Francesco Cinquemani
218784,Jeremy Lalonde
310137,Robbie Pickering
342917,JosÃ© Manuel Cravioto
79698,Butch Lukic
337960,Roland JoffÃ©
296130,Neil Armfield
327418,Alec Gillis
246133,Butch Lukic
328869,Rick Alverson
308032,Reed Morano
329829,Kyle Patrick Alvarez
330544,Mika KaurismÃ¤ki
299551,Dee Rees
207270,Chris Sparling
307946,Matt Winn
356905,Adam Salky
318279,Stuart McDonald
345637,Jimmy Chin|Elizabeth Chai Vasarhelyi
284286,Sanjay Patel
340816,Isabel Coixet
206197,Mitch Davis
331446,Caryn Waechter
351901,Anthony C. Ferrante
357681,Stephen Reynolds
333657,Mark Neale
336845,Fabrizio Conte
343795,Alex Kalymnios
294562,Michael Polish
306197,Mike Mendez
297556,Kris Swanberg
354743,Ethan Spaulding
157422,Jed Mercurio
316885,Jay Alaimo
228973,Jeppe RÃ¸nde
323967,Adam MacDonald
320048,Anna Mastro
359305,Branden Kramer
329004,Aisling Walsh
362180,Stephen Fingleton
343284,Thierry Poiraud
243752,Kyle Rankin
291866,Nick Wernham
